# Nx1 = 64
# x1-size = 2.23607
# Nx2 = 32
# x2-size = 1.11804
# CONSERVED vars at Time= 0.155957, level= 0, domain= 0
# [1]=i-zone [2]=j-zone [3]=x1 [4]=x2 [5]=d [6]=M1 [7]=M2 [8]=M3 [9]=E [10]=B1c [11]=B2c [12]=B3c
 15  6 4.01793469e-01 8.73468672e-02 9.99917727e-01 5.33984437e-02 -2.67754489e-02 -8.01182476e-02 6.59910392e-01 3.93905429e-01 9.21007605e-01 8.02373270e-02
 16  6 4.36732031e-01 8.73468672e-02 9.99700537e-01 6.00056354e-02 -3.01444858e-02 -7.38023403e-02 6.59840894e-01 3.87237982e-01 9.24357060e-01 7.39429477e-02
 17  6 4.71670594e-01 8.73468672e-02 9.99710768e-01 6.61544080e-02 -3.32001110e-02 -6.68239797e-02 6.59811438e-01 3.81064054e-01 9.27445377e-01 6.69727704e-02
 18  6 5.06609156e-01 8.73468672e-02 9.99794870e-01 7.18106756e-02 -3.59896759e-02 -5.92268729e-02 6.59840227e-01 3.75374007e-01 9.30276847e-01 5.93739214e-02
 19  6 5.41547719e-01 8.73468672e-02 1.00000044e+00 7.69392151e-02 -3.84161103e-02 -5.10656178e-02 6.59940026e-01 3.70272312e-01 9.32801272e-01 5.12055813e-02
 20  6 5.76486281e-01 8.73468672e-02 1.00013519e+00 8.12928318e-02 -4.04827031e-02 -4.24076827e-02 6.60027260e-01 3.65938634e-01 9.34944730e-01 4.25466492e-02
 21  6 6.11424844e-01 8.73468672e-02 1.00012379e+00 8.45935803e-02 -4.21384704e-02 -3.33417591e-02 6.60016269e-01 3.62566938e-01 9.36606826e-01 3.34812895e-02
 22  6 6.46363406e-01 8.73468672e-02 1.00004884e+00 8.68201494e-02 -4.32922122e-02 -2.39569346e-02 6.59942148e-01 3.60308578e-01 9.37731249e-01 2.40954923e-02
 23  6 6.81301969e-01 8.73468672e-02 1.00003751e+00 8.79796945e-02 -4.40097998e-02 -1.43376449e-02 6.59891897e-01 3.59118312e-01 9.38382293e-01 1.44752518e-02
 24  6 7.16240531e-01 8.73468672e-02 9.99992452e-01 8.83305021e-02 -4.42996599e-02 -4.57585828e-03 6.59779021e-01 3.58665009e-01 9.38667459e-01 4.71005521e-03
 25  6 7.51179094e-01 8.73468672e-02 9.99831651e-01 8.83626169e-02 -4.42831114e-02 5.22752028e-03 6.59729793e-01 3.58597851e-01 9.38703514e-01 -5.09867182e-03
 26  6 7.86117656e-01 8.73468672e-02 9.99744765e-01 8.80308366e-02 -4.40294549e-02 1.49802997e-02 6.59763978e-01 3.58957049e-01 9.38440343e-01 -1.48588440e-02
 27  6 8.21056219e-01 8.73468672e-02 9.99804416e-01 8.67431897e-02 -4.33335246e-02 2.45976518e-02 6.59864148e-01 3.60208119e-01 9.37746711e-01 -2.44834464e-02
 28  6 8.55994781e-01 8.73468672e-02 9.99830885e-01 8.42487762e-02 -4.20823976e-02 3.39856461e-02 6.59942674e-01 3.62656770e-01 9.36589283e-01 -3.38830499e-02
 29  6 8.90933344e-01 8.73468672e-02 9.99764572e-01 8.07498873e-02 -4.03390564e-02 4.30320293e-02 6.59942514e-01 3.66147543e-01 9.34855903e-01 -4.29434991e-02
 30  6 9.25871906e-01 8.73468672e-02 9.99740175e-01 7.64209895e-02 -3.81948785e-02 5.16065566e-02 6.59929620e-01 3.70455843e-01 9.32723105e-01 -5.15300510e-02
 31  6 9.60810469e-01 8.73468672e-02 9.99779521e-01 7.14154246e-02 -3.56986016e-02 5.96459293e-02 6.59904144e-01 3.75453734e-01 9.30233372e-01 -5.95775112e-02
 32  6 9.95749031e-01 8.73468672e-02 9.99751311e-01 6.57914648e-02 -3.28906566e-02 6.71538220e-02 6.59898206e-01 3.81064741e-01 9.27426276e-01 -6.70966996e-02
 33  6 1.03068759e+00 8.73468672e-02 9.99758067e-01 5.95934264e-02 -2.97844186e-02 7.40901820e-02 6.59920043e-01 3.87262922e-01 9.24334070e-01 -7.40492888e-02
 34  6 1.06562616e+00 8.73468672e-02 9.99806798e-01 5.28540303e-02 -2.63699984e-02 8.05326870e-02 6.59969354e-01 3.94012425e-01 9.20965002e-01 -8.05057982e-02
 35  6 1.10056472e+00 8.73468672e-02 9.99813609e-01 4.55915422e-02 -2.27030815e-02 8.62277217e-02 6.60034971e-01 4.01279365e-01 9.17330152e-01 -8.62156263e-02
 36  6 1.13550328e+00 8.73468672e-02 9.99861375e-01 3.78554357e-02 -1.88230362e-02 9.09284049e-02 6.60085013e-01 4.09036545e-01 9.13462161e-01 -9.09277582e-02
 37  6 1.17044184e+00 8.73468672e-02 9.99888881e-01 2.96925189e-02 -1.47621416e-02 9.44109713e-02 6.60057037e-01 4.17203267e-01 9.09399250e-01 -9.44223065e-02
 38  6 1.20538041e+00 8.73468672e-02 9.99848404e-01 2.12361400e-02 -1.05728248e-02 9.68897440e-02 6.59981091e-01 4.25637562e-01 9.05201502e-01 -9.69143202e-02
 39  6 1.24031897e+00 8.73468672e-02 9.99836902e-01 1.26563580e-02 -6.32318718e-03 9.85746890e-02 6.59932256e-01 4.34223615e-01 9.00907046e-01 -9.86053262e-02
 40  6 1.27525753e+00 8.73468672e-02 9.99812210e-01 3.98559396e-03 -2.02707559e-03 9.92670658e-02 6.59894973e-01 4.42911090e-01 8.96571845e-01 -9.93170110e-02
 41  6 1.31019609e+00 8.73468672e-02 9.99769716e-01 -4.73147085e-03 2.34289679e-03 9.92637642e-02 6.59919017e-01 4.51645719e-01 8.92215930e-01 -9.93347550e-02
 42  6 1.34513466e+00 8.73468672e-02 9.99994236e-01 -1.34114894e-02 6.72183203e-03 9.86641749e-02 6.60007468e-01 4.60359556e-01 8.87861558e-01 -9.87197272e-02
 43  6 1.38007322e+00 8.73468672e-02 1.00013941e+00 -2.19823590e-02 1.10312198e-02 9.70044584e-02 6.60065395e-01 4.68986742e-01 8.83564312e-01 -9.70604432e-02
 44  6 1.41501178e+00 8.73468672e-02 9.99741490e-01 -3.03866641e-02 1.52090095e-02 9.41447696e-02 6.60064452e-01 4.77430319e-01 8.79355670e-01 -9.42495387e-02
 45  6 1.44995034e+00 8.73468672e-02 9.99490531e-01 -3.85000470e-02 1.92569933e-02 9.02687627e-02 6.60043085e-01 4.85573946e-01 8.75299298e-01 -9.04063623e-02
 46  6 1.48488891e+00 8.73468672e-02 9.99799095e-01 -4.61765056e-02 2.31435702e-02 8.55590633e-02 6.60033229e-01 4.93288584e-01 8.71462383e-01 -8.56858735e-02
 47  6 1.51982747e+00 8.73468672e-02 1.00005302e+00 -5.33512534e-02 2.67500995e-02 8.00612549e-02 6.60045941e-01 5.00473418e-01 8.67864044e-01 -8.01747995e-02
 48  6 1.55476603e+00 8.73468672e-02 1.00022211e+00 -6.00008307e-02 3.00670192e-02 7.38218627e-02 6.60051236e-01 5.07132437e-01 8.64523904e-01 -7.39250330e-02
 49  6 1.58970459e+00 8.73468672e-02 1.00024886e+00 -6.61544898e-02 3.31258786e-02 6.68767613e-02 6.60054797e-01 5.13327127e-01 8.61422929e-01 -6.69830084e-02
 50  6 1.62464316e+00 8.73468672e-02 1.00014962e+00 -7.18292298e-02 3.59182359e-02 5.92819585e-02 6.60068953e-01 5.19057444e-01 8.58575617e-01 -5.93990312e-02
 51  6 1.65958172e+00 8.73468672e-02 1.00001994e+00 -7.69460416e-02 3.84478514e-02 5.11120622e-02 6.60096825e-01 5.24205813e-01 8.56028096e-01 -5.12381185e-02
 52  6 1.69452028e+00 8.73468672e-02 9.99998654e-01 -8.12884485e-02 4.06059963e-02 4.24530281e-02 6.60117921e-01 5.28571368e-01 8.53874525e-01 -4.25817226e-02
 53  6 1.72945884e+00 8.73468672e-02 1.00006755e+00 -8.45791473e-02 4.22537141e-02 3.33884884e-02 6.60142141e-01 5.31918894e-01 8.52233248e-01 -3.35167801e-02
 54  6 1.76439741e+00 8.73468672e-02 1.00002163e+00 -8.67226378e-02 4.33211169e-02 2.39966421e-02 6.60096674e-01 5.34072078e-01 8.51150600e-01 -2.41240888e-02
 55  6 1.79933597e+00 8.73468672e-02 9.99876885e-01 -8.78797267e-02 4.38675048e-02 1.43696149e-02 6.59893431e-01 5.35155124e-01 8.50526578e-01 -1.44944458e-02
 56  6 1.83427453e+00 8.73468672e-02 9.99824940e-01 -8.83275205e-02 4.40284823e-02 4.61083280e-03 6.59752454e-01 5.35613793e-01 8.50245404e-01 -4.73194634e-03
 57  6 1.86921309e+00 8.73468672e-02 9.99877813e-01 -8.83721316e-02 4.40288994e-02 -5.18238973e-03 6.59795855e-01 5.35803996e-01 8.50158517e-01 5.06687970e-03
 58  6 1.90415166e+00 8.73468672e-02 1.00003526e+00 -8.80464750e-02 4.39479448e-02 -1.49269966e-02 6.60049266e-01 5.35570821e-01 8.50387970e-01 1.48179018e-02
 59  6 1.93909022e+00 8.73468672e-02 1.00024513e+00 -8.68724613e-02 4.34993653e-02 -2.45419443e-02 6.60261818e-01 5.34378630e-01 8.51017946e-01 2.44371292e-02
 60  6 1.97402878e+00 8.73468672e-02 1.00031682e+00 -8.44086769e-02 4.23304889e-02 -3.39424049e-02 6.60272057e-01 5.31928384e-01 8.52211976e-01 3.38434273e-02
 61  6 2.00896734e+00 8.73468672e-02 1.00023954e+00 -8.08304251e-02 4.04968523e-02 -4.30247316e-02 6.60162974e-01 5.28368505e-01 8.53946034e-01 4.29348087e-02
 62  6 2.04390591e+00 8.73468672e-02 1.00019243e+00 -7.64588430e-02 3.82447543e-02 -5.16647483e-02 6.60060495e-01 5.23990698e-01 8.56111977e-01 5.15832748e-02
 63  6 2.07884447e+00 8.73468672e-02 1.00019573e+00 -7.14478136e-02 3.56998073e-02 -5.97651163e-02 6.60008190e-01 5.18978797e-01 8.58617857e-01 5.96918506e-02
 64  6 2.11378303e+00 8.73468672e-02 1.00018523e+00 -6.58506265e-02 3.28722955e-02 -6.72572360e-02 6.59987074e-01 5.13383730e-01 8.61413083e-01 6.71930822e-02
 65  6 2.14872159e+00 8.73468672e-02 1.00015614e+00 -5.96550374e-02 2.97704576e-02 -7.40746732e-02 6.59975712e-01 5.07202070e-01 8.64510370e-01 7.40255655e-02
 66  6 2.18366016e+00 8.73468672e-02 1.00009616e+00 -5.28787709e-02 2.63970635e-02 -8.03255947e-02 6.59982810e-01 5.00434829e-01 8.67882943e-01 8.02956951e-02
 67  6 2.21859872e+00 8.73468672e-02 1.00015693e+00 -4.55837104e-02 2.27603722e-02 -8.58857584e-02 6.60003961e-01 4.93135564e-01 8.71521507e-01 8.58636928e-02
  4  7 1.74692812e-02 1.22285614e-01 1.00021261e+00 -2.12582578e-02 1.06421696e-02 -9.72555942e-02 6.60039308e-01 4.68796773e-01 8.83659928e-01 9.72642474e-02
  5  7 5.24078438e-02 1.22285614e-01 1.00019422e+00 -1.26479388e-02 6.32539565e-03 -9.87874244e-02 6.59963013e-01 4.60169639e-01 8.87959082e-01 9.88066218e-02
  6  7 8.73464062e-02 1.22285614e-01 1.00022932e+00 -3.93633211e-03 1.91935554e-03 -9.93758905e-02 6.59881749e-01 4.51444050e-01 8.92316904e-01 9.94093678e-02
  7  7 1.22284969e-01 1.22285614e-01 1.00018626e+00 4.78645345e-03 -2.46415656e-03 -9.94498534e-02 6.59883926e-01 4.42711044e-01 8.96662337e-01 9.95050845e-02
  8  7 1.57223531e-01 1.22285614e-01 1.00001926e+00 1.34002254e-02 -6.78371411e-03 -9.86147748e-02 6.59902452e-01 4.34053399e-01 9.00996976e-01 9.86904056e-02
  9  7 1.92162094e-01 1.22285614e-01 9.99975312e-01 2.19651256e-02 -1.10171125e-02 -9.67428406e-02 6.59914400e-01 4.25479472e-01 9.05289289e-01 9.68367801e-02
 10  7 2.27100656e-01 1.22285614e-01 1.00017978e+00 3.04431955e-02 -1.51635269e-02 -9.41148358e-02 6.59968627e-01 4.17020435e-01 9.09486796e-01 9.42017651e-02
 11  7 2.62039219e-01 1.22285614e-01 1.00059685e+00 3.85940864e-02 -1.92636429e-02 -9.04831999e-02 6.60015475e-01 4.08842487e-01 9.13551432e-01 9.05371509e-02
 12  7 2.96977781e-01 1.22285614e-01 1.00048431e+00 4.62735864e-02 -2.31327797e-02 -8.57347468e-02 6.59983316e-01 4.01111520e-01 9.17414743e-01 8.58062403e-02
 13  7 3.31916344e-01 1.22285614e-01 9.99917727e-01 5.33984437e-02 -2.67754489e-02 -8.01182476e-02 6.59910392e-01 3.93905429e-01 9.21007605e-01 8.02373270e-02
 14  7 3.66854906e-01 1.22285614e-01 9.99700537e-01 6.00056354e-02 -3.01444858e-02 -7.38023403e-02 6.59840894e-01 3.87237982e-01 9.24357060e-01 7.39429477e-02
 15  7 4.01793469e-01 1.22285614e-01 9.99710768e-01 6.61544080e-02 -3.32001110e-02 -6.68239797e-02 6.59811438e-01 3.81064054e-01 9.27445377e-01 6.69727704e-02
 16  7 4.36732031e-01 1.22285614e-01 9.99794870e-01 7.18106756e-02 -3.59896759e-02 -5.92268729e-02 6.59840227e-01 3.75374007e-01 9.30276847e-01 5.93739214e-02
 17  7 4.71670594e-01 1.22285614e-01 1.00000044e+00 7.69392151e-02 -3.84161103e-02 -5.10656178e-02 6.59940026e-01 3.70272312e-01 9.32801272e-01 5.12055813e-02
 18  7 5.06609156e-01 1.22285614e-01 1.00013519e+00 8.12928318e-02 -4.04827031e-02 -4.24076827e-02 6.60027260e-01 3.65938634e-01 9.34944730e-01 4.25466492e-02
 19  7 5.41547719e-01 1.22285614e-01 1.00012379e+00 8.45935803e-02 -4.21384704e-02 -3.33417591e-02 6.60016269e-01 3.62566938e-01 9.36606826e-01 3.34812895e-02
 20  7 5.76486281e-01 1.22285614e-01 1.00004884e+00 8.68201494e-02 -4.32922122e-02 -2.39569346e-02 6.59942148e-01 3.60308578e-01 9.37731249e-01 2.40954923e-02
 21  7 6.11424844e-01 1.22285614e-01 1.00003751e+00 8.79796945e-02 -4.40097998e-02 -1.43376449e-02 6.59891897e-01 3.59118312e-01 9.38382293e-01 1.44752518e-02
 22  7 6.46363406e-01 1.22285614e-01 9.99992452e-01 8.83305021e-02 -4.42996599e-02 -4.57585828e-03 6.59779021e-01 3.58665009e-01 9.38667459e-01 4.71005521e-03
 23  7 6.81301969e-01 1.22285614e-01 9.99831651e-01 8.83626169e-02 -4.42831114e-02 5.22752028e-03 6.59729793e-01 3.58597851e-01 9.38703514e-01 -5.09867182e-03
 24  7 7.16240531e-01 1.22285614e-01 9.99744765e-01 8.80308366e-02 -4.40294549e-02 1.49802997e-02 6.59763978e-01 3.58957049e-01 9.38440343e-01 -1.48588440e-02
 25  7 7.51179094e-01 1.22285614e-01 9.99804416e-01 8.67431897e-02 -4.33335246e-02 2.45976518e-02 6.59864148e-01 3.60208119e-01 9.37746711e-01 -2.44834464e-02
 26  7 7.86117656e-01 1.22285614e-01 9.99830885e-01 8.42487762e-02 -4.20823976e-02 3.39856461e-02 6.59942674e-01 3.62656770e-01 9.36589283e-01 -3.38830499e-02
 27  7 8.21056219e-01 1.22285614e-01 9.99764572e-01 8.07498873e-02 -4.03390564e-02 4.30320293e-02 6.59942514e-01 3.66147543e-01 9.34855903e-01 -4.29434991e-02
 28  7 8.55994781e-01 1.22285614e-01 9.99740175e-01 7.64209895e-02 -3.81948785e-02 5.16065566e-02 6.59929620e-01 3.70455843e-01 9.32723105e-01 -5.15300510e-02
 29  7 8.90933344e-01 1.22285614e-01 9.99779521e-01 7.14154246e-02 -3.56986016e-02 5.96459293e-02 6.59904144e-01 3.75453734e-01 9.30233372e-01 -5.95775112e-02
 30  7 9.25871906e-01 1.22285614e-01 9.99751311e-01 6.57914648e-02 -3.28906566e-02 6.71538220e-02 6.59898206e-01 3.81064741e-01 9.27426276e-01 -6.70966996e-02
 31  7 9.60810469e-01 1.22285614e-01 9.99758067e-01 5.95934264e-02 -2.97844186e-02 7.40901820e-02 6.59920043e-01 3.87262922e-01 9.24334070e-01 -7.40492888e-02
 32  7 9.95749031e-01 1.22285614e-01 9.99806798e-01 5.28540303e-02 -2.63699984e-02 8.05326870e-02 6.59969354e-01 3.94012425e-01 9.20965002e-01 -8.05057982e-02
 33  7 1.03068759e+00 1.22285614e-01 9.99813609e-01 4.55915422e-02 -2.27030815e-02 8.62277217e-02 6.60034971e-01 4.01279365e-01 9.17330152e-01 -8.62156263e-02
 34  7 1.06562616e+00 1.22285614e-01 9.99861375e-01 3.78554357e-02 -1.88230362e-02 9.09284049e-02 6.60085013e-01 4.09036545e-01 9.13462161e-01 -9.09277582e-02
 35  7 1.10056472e+00 1.22285614e-01 9.99888881e-01 2.96925189e-02 -1.47621416e-02 9.44109713e-02 6.60057037e-01 4.17203267e-01 9.09399250e-01 -9.44223065e-02
 36  7 1.13550328e+00 1.22285614e-01 9.99848404e-01 2.12361400e-02 -1.05728248e-02 9.68897440e-02 6.59981091e-01 4.25637562e-01 9.05201502e-01 -9.69143202e-02
 37  7 1.17044184e+00 1.22285614e-01 9.99836902e-01 1.26563580e-02 -6.32318718e-03 9.85746890e-02 6.59932256e-01 4.34223615e-01 9.00907046e-01 -9.86053262e-02
 38  7 1.20538041e+00 1.22285614e-01 9.99812210e-01 3.98559396e-03 -2.02707559e-03 9.92670658e-02 6.59894973e-01 4.42911090e-01 8.96571845e-01 -9.93170110e-02
 39  7 1.24031897e+00 1.22285614e-01 9.99769716e-01 -4.73147085e-03 2.34289679e-03 9.92637642e-02 6.59919017e-01 4.51645719e-01 8.92215930e-01 -9.93347550e-02
 40  7 1.27525753e+00 1.22285614e-01 9.99994236e-01 -1.34114894e-02 6.72183203e-03 9.86641749e-02 6.60007468e-01 4.60359556e-01 8.87861558e-01 -9.87197272e-02
 41  7 1.31019609e+00 1.22285614e-01 1.00013941e+00 -2.19823590e-02 1.10312198e-02 9.70044584e-02 6.60065395e-01 4.68986742e-01 8.83564312e-01 -9.70604432e-02
 42  7 1.34513466e+00 1.22285614e-01 9.99741490e-01 -3.03866641e-02 1.52090095e-02 9.41447696e-02 6.60064452e-01 4.77430319e-01 8.79355670e-01 -9.42495387e-02
 43  7 1.38007322e+00 1.22285614e-01 9.99490531e-01 -3.85000470e-02 1.92569933e-02 9.02687627e-02 6.60043085e-01 4.85573946e-01 8.75299298e-01 -9.04063623e-02
 44  7 1.41501178e+00 1.22285614e-01 9.99799095e-01 -4.61765056e-02 2.31435702e-02 8.55590633e-02 6.60033229e-01 4.93288584e-01 8.71462383e-01 -8.56858735e-02
 45  7 1.44995034e+00 1.22285614e-01 1.00005302e+00 -5.33512534e-02 2.67500995e-02 8.00612549e-02 6.60045941e-01 5.00473418e-01 8.67864044e-01 -8.01747995e-02
 46  7 1.48488891e+00 1.22285614e-01 1.00022211e+00 -6.00008307e-02 3.00670192e-02 7.38218627e-02 6.60051236e-01 5.07132437e-01 8.64523904e-01 -7.39250330e-02
 47  7 1.51982747e+00 1.22285614e-01 1.00024886e+00 -6.61544898e-02 3.31258786e-02 6.68767613e-02 6.60054797e-01 5.13327127e-01 8.61422929e-01 -6.69830084e-02
 48  7 1.55476603e+00 1.22285614e-01 1.00014962e+00 -7.18292298e-02 3.59182359e-02 5.92819585e-02 6.60068953e-01 5.19057444e-01 8.58575617e-01 -5.93990312e-02
 49  7 1.58970459e+00 1.22285614e-01 1.00001994e+00 -7.69460416e-02 3.84478514e-02 5.11120622e-02 6.60096825e-01 5.24205813e-01 8.56028096e-01 -5.12381185e-02
 50  7 1.62464316e+00 1.22285614e-01 9.99998654e-01 -8.12884485e-02 4.06059963e-02 4.24530281e-02 6.60117921e-01 5.28571368e-01 8.53874525e-01 -4.25817226e-02
 51  7 1.65958172e+00 1.22285614e-01 1.00006755e+00 -8.45791473e-02 4.22537141e-02 3.33884884e-02 6.60142141e-01 5.31918894e-01 8.52233248e-01 -3.35167801e-02
 52  7 1.69452028e+00 1.22285614e-01 1.00002163e+00 -8.67226378e-02 4.33211169e-02 2.39966421e-02 6.60096674e-01 5.34072078e-01 8.51150600e-01 -2.41240888e-02
 53  7 1.72945884e+00 1.22285614e-01 9.99876885e-01 -8.78797267e-02 4.38675048e-02 1.43696149e-02 6.59893431e-01 5.35155124e-01 8.50526578e-01 -1.44944458e-02
 54  7 1.76439741e+00 1.22285614e-01 9.99824940e-01 -8.83275205e-02 4.40284823e-02 4.61083280e-03 6.59752454e-01 5.35613793e-01 8.50245404e-01 -4.73194634e-03
 55  7 1.79933597e+00 1.22285614e-01 9.99877813e-01 -8.83721316e-02 4.40288994e-02 -5.18238973e-03 6.59795855e-01 5.35803996e-01 8.50158517e-01 5.06687970e-03
 56  7 1.83427453e+00 1.22285614e-01 1.00003526e+00 -8.80464750e-02 4.39479448e-02 -1.49269966e-02 6.60049266e-01 5.35570821e-01 8.50387970e-01 1.48179018e-02
 57  7 1.86921309e+00 1.22285614e-01 1.00024513e+00 -8.68724613e-02 4.34993653e-02 -2.45419443e-02 6.60261818e-01 5.34378630e-01 8.51017946e-01 2.44371292e-02
 58  7 1.90415166e+00 1.22285614e-01 1.00031682e+00 -8.44086769e-02 4.23304889e-02 -3.39424049e-02 6.60272057e-01 5.31928384e-01 8.52211976e-01 3.38434273e-02
 59  7 1.93909022e+00 1.22285614e-01 1.00023954e+00 -8.08304251e-02 4.04968523e-02 -4.30247316e-02 6.60162974e-01 5.28368505e-01 8.53946034e-01 4.29348087e-02
 60  7 1.97402878e+00 1.22285614e-01 1.00019243e+00 -7.64588430e-02 3.82447543e-02 -5.16647483e-02 6.60060495e-01 5.23990698e-01 8.56111977e-01 5.15832748e-02
 61  7 2.00896734e+00 1.22285614e-01 1.00019573e+00 -7.14478136e-02 3.56998073e-02 -5.97651163e-02 6.60008190e-01 5.18978797e-01 8.58617857e-01 5.96918506e-02
 62  7 2.04390591e+00 1.22285614e-01 1.00018523e+00 -6.58506265e-02 3.28722955e-02 -6.72572360e-02 6.59987074e-01 5.13383730e-01 8.61413083e-01 6.71930822e-02
 63  7 2.07884447e+00 1.22285614e-01 1.00015614e+00 -5.96550374e-02 2.97704576e-02 -7.40746732e-02 6.59975712e-01 5.07202070e-01 8.64510370e-01 7.40255655e-02
 64  7 2.11378303e+00 1.22285614e-01 1.00009616e+00 -5.28787709e-02 2.63970635e-02 -8.03255947e-02 6.59982810e-01 5.00434829e-01 8.67882943e-01 8.02956951e-02
 65  7 2.14872159e+00 1.22285614e-01 1.00015693e+00 -4.55837104e-02 2.27603722e-02 -8.58857584e-02 6.60003961e-01 4.93135564e-01 8.71521507e-01 8.58636928e-02
 66  7 2.18366016e+00 1.22285614e-01 1.00024052e+00 -3.78200662e-02 1.89112760e-02 -9.06937138e-02 6.60037874e-01 4.85379021e-01 8.75395666e-01 9.06764475e-02
 67  7 2.21859872e+00 1.22285614e-01 1.00023104e+00 -2.96806110e-02 1.48531369e-02 -9.45270137e-02 6.60060029e-01 4.77235025e-01 8.79452126e-01 9.45261779e-02
  4  8 1.74692812e-02 1.57224361e-01 1.00022932e+00 -3.93633211e-03 1.91935554e-03 -9.93758905e-02 6.59881749e-01 4.51444050e-01 8.92316904e-01 9.94093678e-02
  5  8 5.24078438e-02 1.57224361e-01 1.00018626e+00 4.78645345e-03 -2.46415656e-03 -9.94498534e-02 6.59883926e-01 4.42711044e-01 8.96662337e-01 9.95050845e-02
  6  8 8.73464062e-02 1.57224361e-01 1.00001926e+00 1.34002254e-02 -6.78371411e-03 -9.86147748e-02 6.59902452e-01 4.34053399e-01 9.00996976e-01 9.86904056e-02
  7  8 1.22284969e-01 1.57224361e-01 9.99975312e-01 2.19651256e-02 -1.10171125e-02 -9.67428406e-02 6.59914400e-01 4.25479472e-01 9.05289289e-01 9.68367801e-02
  8  8 1.57223531e-01 1.57224361e-01 1.00017978e+00 3.04431955e-02 -1.51635269e-02 -9.41148358e-02 6.59968627e-01 4.17020435e-01 9.09486796e-01 9.42017651e-02
  9  8 1.92162094e-01 1.57224361e-01 1.00059685e+00 3.85940864e-02 -1.92636429e-02 -9.04831999e-02 6.60015475e-01 4.08842487e-01 9.13551432e-01 9.05371509e-02
 10  8 2.27100656e-01 1.57224361e-01 1.00048431e+00 4.62735864e-02 -2.31327797e-02 -8.57347468e-02 6.59983316e-01 4.01111520e-01 9.17414743e-01 8.58062403e-02
 11  8 2.62039219e-01 1.57224361e-01 9.99917727e-01 5.33984437e-02 -2.67754489e-02 -8.01182476e-02 6.59910392e-01 3.93905429e-01 9.21007605e-01 8.02373270e-02
 12  8 2.96977781e-01 1.57224361e-01 9.99700537e-01 6.00056354e-02 -3.01444858e-02 -7.38023403e-02 6.59840894e-01 3.87237982e-01 9.24357060e-01 7.39429477e-02
 13  8 3.31916344e-01 1.57224361e-01 9.99710768e-01 6.61544080e-02 -3.32001110e-02 -6.68239797e-02 6.59811438e-01 3.81064054e-01 9.27445377e-01 6.69727704e-02
 14  8 3.66854906e-01 1.57224361e-01 9.99794870e-01 7.18106756e-02 -3.59896759e-02 -5.92268729e-02 6.59840227e-01 3.75374007e-01 9.30276847e-01 5.93739214e-02
 15  8 4.01793469e-01 1.57224361e-01 1.00000044e+00 7.69392151e-02 -3.84161103e-02 -5.10656178e-02 6.59940026e-01 3.70272312e-01 9.32801272e-01 5.12055813e-02
 16  8 4.36732031e-01 1.57224361e-01 1.00013519e+00 8.12928318e-02 -4.04827031e-02 -4.24076827e-02 6.60027260e-01 3.65938634e-01 9.34944730e-01 4.25466492e-02
 17  8 4.71670594e-01 1.57224361e-01 1.00012379e+00 8.45935803e-02 -4.21384704e-02 -3.33417591e-02 6.60016269e-01 3.62566938e-01 9.36606826e-01 3.34812895e-02
 18  8 5.06609156e-01 1.57224361e-01 1.00004884e+00 8.68201494e-02 -4.32922122e-02 -2.39569346e-02 6.59942148e-01 3.60308578e-01 9.37731249e-01 2.40954923e-02
 19  8 5.41547719e-01 1.57224361e-01 1.00003751e+00 8.79796945e-02 -4.40097998e-02 -1.43376449e-02 6.59891897e-01 3.59118312e-01 9.38382293e-01 1.44752518e-02
 20  8 5.76486281e-01 1.57224361e-01 9.99992452e-01 8.83305021e-02 -4.42996599e-02 -4.57585828e-03 6.59779021e-01 3.58665009e-01 9.38667459e-01 4.71005521e-03
 21  8 6.11424844e-01 1.57224361e-01 9.99831651e-01 8.83626169e-02 -4.42831114e-02 5.22752028e-03 6.59729793e-01 3.58597851e-01 9.38703514e-01 -5.09867182e-03
 22  8 6.46363406e-01 1.57224361e-01 9.99744765e-01 8.80308366e-02 -4.40294549e-02 1.49802997e-02 6.59763978e-01 3.58957049e-01 9.38440343e-01 -1.48588440e-02
 23  8 6.81301969e-01 1.57224361e-01 9.99804416e-01 8.67431897e-02 -4.33335246e-02 2.45976518e-02 6.59864148e-01 3.60208119e-01 9.37746711e-01 -2.44834464e-02
 24  8 7.16240531e-01 1.57224361e-01 9.99830885e-01 8.42487762e-02 -4.20823976e-02 3.39856461e-02 6.59942674e-01 3.62656770e-01 9.36589283e-01 -3.38830499e-02
 25  8 7.51179094e-01 1.57224361e-01 9.99764572e-01 8.07498873e-02 -4.03390564e-02 4.30320293e-02 6.59942514e-01 3.66147543e-01 9.34855903e-01 -4.29434991e-02
 26  8 7.86117656e-01 1.57224361e-01 9.99740175e-01 7.64209895e-02 -3.81948785e-02 5.16065566e-02 6.59929620e-01 3.70455843e-01 9.32723105e-01 -5.15300510e-02
 27  8 8.21056219e-01 1.57224361e-01 9.99779521e-01 7.14154246e-02 -3.56986016e-02 5.96459293e-02 6.59904144e-01 3.75453734e-01 9.30233372e-01 -5.95775112e-02
 28  8 8.55994781e-01 1.57224361e-01 9.99751311e-01 6.57914648e-02 -3.28906566e-02 6.71538220e-02 6.59898206e-01 3.81064741e-01 9.27426276e-01 -6.70966996e-02
